    source,author,title,description,url,publishedAt,content
Project Syndicate,Kenneth Rogoff,¿Se hundirá el segundo boom de Trump?,Project Syndicate - The World’s Opinion Page,https://www.project-syndicate.org/magazine/is-the-us-economy-headed-boom-or-recession-under-trump-by-kenneth-rogoff-2024-12/spanish,2024-12-16T00:05:00Z,LISBOA ¿Qué resultados traerá para la economía de Estados Unidos y la mundial la victoria de Donald Trump en la elección presidencial estadounidense? En un comentario de diciembre de 2016 titulado «¿… [+10357 chars]
Freerepublic.com,Daily Signal,EXCLUSIVE: What Has HHS Withheld on COVID-19 Vax? Sen. Ron Johnson Is About to Find Out,"A new letter from Sen. Ron Johnson, R-Wis., puts federal health agencies on notice that he plans to subpoena unredacted records withheld by the Biden administration on potential adverse effects of the COVID-19 vaccines. “It appears that even in the waning day…",https://freerepublic.com/focus/f-news/4284671/posts,2024-12-15T21:06:53Z,"Skip to comments.
EXCLUSIVE: What Has HHS Withheld on COVID-19 Vax? Sen. Ron Johnson Is About to Find OutDaily Signal ^
 | December 12, 2024
 | Fred Lucas 
Posted on 12/15/2024 1:06:53 PM PST by … [+7285 chars]"
Plos.org,"Iheanyi Oby Nwaoha, Albain Ayime Balibuno, Nuha Ibrahim",Factors associated with the uptake and utilisation of diabetic retinopathy screening services in sub-Saharan Africa: A scoping review,Introduction Diabetic Retinopathy (DR) is a microvascular complication of chronic Diabetes that can lead to visual impairment if left untreated. While concerted efforts have been made to develop screening modalities to facilitate the early detection of Diabet…,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0315367,2024-12-13T14:00:00Z,"Citation: Nwaoha IO, Balibuno AA, Ibrahim N (2024) Factors associated with the uptake and utilisation of diabetic retinopathy screening services in sub-Saharan Africa: A scoping review. PLoS ONE 19(1… [+40418 chars]"
Project Syndicate,Michael R. Strain,El populismo nunca dura,Project Syndicate - The World’s Opinion Page,https://www.project-syndicate.org/commentary/trump-populism-politically-predictable-but-economically-unviable-by-michael-r-strain-2024-12/spanish,2024-12-13T13:59:52Z,"WASHINGTON, DC Comprender el regreso del populismo es crucial para dar sentido a la política actual. Esto es válido sobre todo en Estados Unidos, tanto para el presidente electo Donald Trump y los co… [+6630 chars]"
Wordpress.com,,"Sam Thursfield: Status update, 13/12/24","Its been an interesting and cold month so far. I made a successful trip to the UK, one of the first times I’ve been back in winter and avoided being exposed to COVID19 since the pandemic, so that’s a step forwards. 



I’ve been thinking a lot about documenta…",https://samthursfield.wordpress.com/2024/12/13/status-update-13-12-24/,2024-12-13T11:39:40Z,"Its been an interesting and cold month so far. I made a successful trip to the UK, one of the first times I’ve been back in winter and avoided being exposed to COVID19 since the pandemic, so that’s a… [+3425 chars]"
National Institutes of Health,,New | phs002907.v1.p1 | Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Jackson Heart Study (JHS),"Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Jackson Heart Study (JHS)
  
 (
 study page

 
 |
 
 release notes
)

​",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002907.v1.p1,2024-12-12T22:35:00Z,"Adverse effects of the coronavirus disease 2019 (COVID19) pandemic on US society, health, and economy are widespread. The Collaborative Cohort of Cohorts for COVID-19 Research (C4R) aims to advance o… [+1177 chars]"
Freerepublic.com,ASPR,Biden Regime Quietly Extends COVID-19 ‘Emergency Declaration’ to Shield Big Pharma and mRNA Vaccine Makers from Liability Until 2029,"The Biden administration has quietly extended a controversial “emergency declaration” under the Public Readiness and Emergency Preparedness (PREP) Act until December 31, 2029. “Secretary Becerra signed the 12th amendment to the declaration under the PREP Act …",https://freerepublic.com/focus/f-bloggers/4284045/posts,2024-12-12T13:28:10Z,"Skip to comments.
Biden Regime Quietly Extends COVID-19 Emergency Declaration to Shield Big Pharma and mRNA Vaccine Makers from Liability Until 2029ASPR ^
 | 12/12/24
Posted on 12/12/2024 5:28:10 … [+2240 chars]"
Bengreenfieldlife.com,support@bengreenfieldfitness.com (Ben Greenfield),"How To HACK Plant Protein For Muscle Building, How *Little* Can You Train To Maintain Muscle (& A Sauna Strategy), The Best Time To Take Melatonin, & More! Solosode #482","Listen on: Reading time: 7 minutes What I Discuss The rebranding of my podcast to The Boundless Life Podcast, my
The post How To HACK Plant Protein For Muscle Building, How *Little* Can You Train To Maintain Muscle (& A Sauna Strategy), The Best Time To Take …",https://bengreenfieldlife.com/podcast/solosode-482/,2024-12-12T10:00:20Z,"Ben Greenfield [00:00:00]: In this episode of the Boundless Life Podcast, how to hack plant protein for muscle building. How little can you train to maintain muscle? And a cool sauna strategy. The be… [+44608 chars]"
Project Syndicate,Huang Yiping,¿Qué pasará con la economía china en 2025?,Project Syndicate - The World’s Opinion Page,https://www.project-syndicate.org/commentary/china-growth-prospects-depend-on-government-meeting-three-key-challenges-by-huang-yiping-2024-12/spanish,2024-12-11T10:47:38Z,"BEIJING El crecimiento del PIB de China se frenó durante los tres primeros trimestres de 2024, pasando del 5,3% al 4,7% y luego al 4,6%. Esto hizo temer que el país no alcanzara su objetivo de crecim… [+7134 chars]"
Lse.ac.uk,,Times of crises: ideology and party system transformations in Spain,"Campolongo, Francesco and Olivas Osuna, José Javier ORCID: 0000-0002-9877-8480 (2024) Times of crises: ideology and party system transformations in Spain. Partecipazione e Conflitto. ISSN 1972-7623",http://eprints.lse.ac.uk/126310/,2024-12-10T16:48:03Z,"Campolongo, Francesco and Olivas Osuna, José JavierORCID: 0000-0002-9877-8480 
(2024)
Times of crises: ideology and party system transformations in Spain.
Partecipazione e Conflitto.
ISSN 1972-76… [+1310 chars]"
Twistedsifter.com,Michael Levanduski,"Computer Programmer Quit After His Company Tried To Force Him To Work From The Office Rather Than Home, So When The CEO Asked Him To Come Back He Had Some Serious Demands",He must have been a top tier programmer!,http://twistedsifter.com/2024/12/computer-programmer-quit-after-his-company-tried-to-force-him-to-work-from-the-office-rather-than-home-so-when-the-ceo-asked-him-to-come-back-he-had-some-serious-demands/,2024-12-10T00:22:23Z,"The COVID pandemic caused many serious problems, but for many people, it also made them realize that working from home was wonderful.
What would you do if your boss tried to make you return to the o… [+6490 chars]"
Freerepublic.com,Alpha News,Mother injured in COVID vaccine trial on a mission to help others amid historic court case,"It really spiraled into a long, arduous journey of learning what happens when big corporate interests overtake the needs of an individual,"" said Brianne Dressen. ... She struggled to survive a COVID vaccine clinical trial, but Brianne Dressen’s story led to a…",https://freerepublic.com/focus/f-news/4283435/posts,2024-12-09T16:50:03Z,"Skip to comments.
Mother injured in COVID vaccine trial on a mission to help others amid historic court caseAlpha News ^
 | December 9, 2024
 | Liz Collin 
Posted on 12/09/2024 8:50:03 AM PST by … [+6918 chars]"
Tom's Hardware UK,Les Pounder,"Raspberry Pi 500 Review: The keyboard is the computer, again","It may look like the Raspberry Pi 400, but this Pi 500 crams an 8GB Raspberry Pi 5 into a keyboard, and it has great thermals!",https://www.tomshardware.com/raspberry-pi/raspberry-pi-500-review,2024-12-09T08:00:23Z,"When the Raspberry Pi 400
 was released, the world was deeply in the grip of COVID19 and chip shortages meant that stocks of common electronics were in short supply. Including the Raspberry Pi 4
. … [+11804 chars]"
The Irish Times,Ronan Glynn,We can’t build our way out of the capacity issues in the health service,We must stop viewing health as ‘a cost to be managed’ and instead understand it as ‘an investment to be made’,https://www.irishtimes.com/opinion/2024/12/09/dr-ronan-glynn-we-cant-build-our-way-out-of-the-capacity-issues-in-the-health-service/,2024-12-09T06:00:00Z,"As the political focus moves beyond the election campaign and into government formation and negotiation of a programme for that government, the focus in the healthcare system turns towards winter pre… [+6005 chars]"
UN News,United Nations,"“Human Rights Are about Building the Future — Right Now” Says Secretary-General, Marking International Day","Following is UN Secretary-General António Guterres’ message for Human Rights Day, observed on 10 December:",https://press.un.org/en/2024/sgsm22488.doc.htm,2024-12-06T18:23:41Z,"Following is UN Secretary-General António Guterres message for Human Rights Day, observed on 10 December:
On Human Rights Day, we face a harsh truth.  Human rights are under assault.  Tens of millio… [+1353 chars]"
BusinessLine,KR Srivats,"Market slide in October-November further trim NPS Equity Gains, annual returns moderate","Although average annual equity scheme returns moderated since end September, it was much higher than the 12.55% in central government scheme and 12.63% in State government scheme",https://www.thehindubusinessline.com/markets/market-slide-in-october-november-further-trim-nps-equity-gains-annual-returns-moderate/article68954024.ece,2024-12-06T08:57:03Z,"The recent slide in benchmark equity indices in OctoberNovember 2024 has further pulled down the average annual returns on NPS monies parked in equity scheme to 26.6 per cent as of November 30, lates… [+3661 chars]"
Financial Post,GlobeNewswire,Hut 8 Operations Update for November 2024,"21.0 EH/s and 967 MW1,2 under management in mining with path to ~35 EH/s MIAMI, Dec. 05, 2024 (GLOBE NEWSWIRE) — Hut 8 Corp. (Nasdaq | TSX: HUT) (“Hut 8” or the “Company”), a leading, vertically integrated operator of large-scale energy infrastructure and one…",https://financialpost.com/globe-newswire/hut-8-operations-update-for-november-2024,2024-12-05T21:30:16Z,"21.0 EH/s and 967 MW1,2 under management in mining with path to ~35 EH/s
MIAMI, Dec. 05, 2024 (GLOBE NEWSWIRE) Hut 8 Corp. (Nasdaq | TSX: HUT) (Hut 8 or the Company), a leading, vertically integrate… [+15334 chars]"
GlobeNewswire,Hut 8 Corp.,Hut 8 Operations Update for November 2024,"Hut 8, a vertically integrated operator of large-scale energy infrastructure and Bitcoin miner, today released its operations update for November 2024.......",https://www.globenewswire.com/news-release/2024/12/05/2992747/0/en/Hut-8-Operations-Update-for-November-2024.html,2024-12-05T21:30:00Z,"21.0 EH/s and 967 MW1,2 under management in mining with path to ~35 EH/s
MIAMI, Dec. 05, 2024 (GLOBE NEWSWIRE) -- Hut 8 Corp. (Nasdaq | TSX: HUT) (Hut 8 or the Company), a leading, vertically integr… [+15332 chars]"
Plos.org,"Musa Khan, Wu Chao, Muhammad Rahim, Fazli Amin",Enhancing green supplier selection: A nonlinear programming method with TOPSIS in cubic Pythagorean fuzzy contexts,"The advancements in information and communication technologies have given rise to innovative developments such as cloud computing, the Internet of Things, big data analytics, and artificial intelligence. These technologies have been integrated into production…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310956,2024-12-05T14:00:00Z,"Abstract
The advancements in information and communication technologies have given rise to innovative developments such as cloud computing, the Internet of Things, big data analytics, and artificial… [+54606 chars]"
The BMJ,"Berg, J., Wretborn, J.",Impact of the COVID-19 pandemic on the National Telehealth Service for triage and referral in Sweden: a national retrospective observational study,"Objectives Telehealth, the provision of healthcare through digital communication, has been proposed as a potential solution to meet the increasing demand for healthcare, particularly in the setting of the COVID-19 pandemic. Sweden has an established national …",https://bmjopen.bmj.com/content/14/12/e091627,2024-12-05T00:13:28Z,"Introduction
The COVID-19 pandemic posed significant challenges to healthcare systems around the world. Healthcare providers had to manage patients with the new COVID-19 disease with rigorous safety… [+8556 chars]"
Freerepublic.com,The New York Post,Trump used ‘forceful hand’ to oust DEA pick after hearing ‘concerns’ about his arrest of pastor,"President-elect Donald Trump used a “forceful hand” to get his Drug Enforcement Agency pick to drop out on Tuesday after hearing “concerns” about the Floridian’s record, sources familiar told The Post — leading outgoing Rep. Anthony D’Esposito (R-NY) to make …",https://freerepublic.com/focus/f-news/4282491/posts,2024-12-04T19:20:36Z,"Skip to comments.
Trump used forceful hand to oust DEA pick after hearing concerns about his arrest of pastorThe New York Post ^
 | 12/04/2024
 | Diana Glebova
Posted on 12/04/2024 11:20:36 AM PS… [+4274 chars]"
Bluevirginia.us,Lowkell,"Video: Rep. Don Beyer (D-VA08), Protect Our Care Virginia, Healthcare Advocates Rip RFK Jr. as “fueled by conspiracy theories and lies,” “existential threat to our health care,” making polio great again,” etc.","Video: Rep. Don Beyer (D-VA08), Protect Our Care Virginia, Healthcare Advocates Rip RFK Jr. as “fueled by conspiracy theories and lies,” “existential threat to our health care,” making polio great again,” etc.bluevirginia.us",https://bluevirginia.us/2024/12/video-rep-don-beyer-d-va08-protect-our-care-virginia-rip-rfk-jr-as-fueled-by-conspiracy-theories-and-lies-existential-threat-to-our-health-care-making-polio-great-again-etc,2024-12-04T17:35:32Z,"A few minutes ago, Protect Our Care Virginia held a press conference at which Rep. Don Beyer (VA-08) and health care advocates “sound[ed] the alarm on Donald Trumps nomination of Robert F. Kennedy Jr… [+5967 chars]"
Sciencebasedmedicine.org,Steven Novella,Questions About Pandemic Preparedness,The theme at SBM this week is questions for Trump’s nominees for key health positions within the federal government. David got the ball rolling with an excellent summary of the nominees and questions for each. Jonathan followed up with his own list of questio…,https://sciencebasedmedicine.org/questions-about-pandemic-preparedness/,2024-12-04T13:04:00Z,The theme at SBM this week is questions for Trump’s nominees for key health positions within the federal government. David got the ball rolling with an excellent summary of the nominees and questions… [+4696 chars]
Freerepublic.com,"Gateway Pundit,","‘Should Be Disqualified!’ — Conservatives Slam Trump’s DEA Pick Chad Chronister for Being a Woke, Democrat Donor, Pro-Vaccine ‘Tyrant’ Who Arrested a Pastor During COVID","Donald Trump’s recent announcement of Sheriff Chad Chronister as his nominee for Drug Enforcement Administration (DEA) Administrator has sparked a fierce backlash among conservatives, who are raising serious concerns about Chronister’s record, particularly hi…",https://freerepublic.com/focus/f-bloggers/4282038/posts,2024-12-02T15:39:13Z,"Skip to comments.
Should Be Disqualified! Conservatives Slam Trumps DEA Pick Chad Chronister for Being a Woke, Democrat Donor, Pro-Vaccine Tyrant Who Arrested a Pastor During COVIDGateway Pundit, ^
… [+9186 chars]"
