title_lemmatized,description_lemmatized,content_lemmatized
"['exclusive', 'what', 'ha', 'hhs', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'out']","['a', 'new', 'letter', 'from', 'sen', 'ron', 'johnson', 'rwis', 'put', 'federal', 'health', 'agency', 'on', 'notice', 'that', 'he', 'plan', 'to', 'subpoena', 'unredacted', 'record', 'withheld', 'by', 'the', 'biden', 'administration', 'on', 'potential', 'adverse', 'effect', 'of', 'the', 'covid', 'vaccine', 'it', 'appears', 'that', 'even', 'in', 'the', 'waning', 'day']","['skip', 'to', 'comment', 'exclusive', 'what', 'ha', 'hhs', 'withheld', 'on', 'covid', 'vax', 'sen', 'ron', 'johnson', 'is', 'about', 'to', 'find', 'outdaily', 'signal', 'december', 'fred', 'lucas', 'posted', 'on', 'pm', 'pst', 'by', 'char']"
"['factor', 'associated', 'with', 'the', 'uptake', 'and', 'utilisation', 'of', 'diabetic', 'retinopathy', 'screening', 'service', 'in', 'subsaharan', 'africa', 'a', 'scoping', 'review']","['introduction', 'diabetic', 'retinopathy', 'dr', 'is', 'a', 'microvascular', 'complication', 'of', 'chronic', 'diabetes', 'that', 'can', 'lead', 'to', 'visual', 'impairment', 'if', 'left', 'untreated', 'while', 'concerted', 'effort', 'have', 'been', 'made', 'to', 'develop', 'screening', 'modality', 'to', 'facilitate', 'the', 'early', 'detection', 'of', 'diabet']","['citation', 'nwaoha', 'io', 'balibuno', 'aa', 'ibrahim', 'n', 'factor', 'associated', 'with', 'the', 'uptake', 'and', 'utilisation', 'of', 'diabetic', 'retinopathy', 'screening', 'service', 'in', 'subsaharan', 'africa', 'a', 'scoping', 'review', 'plo', 'one', 'char']"
"['sam', 'thursfield', 'status', 'update']","['it', 'been', 'an', 'interesting', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'successful', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoided', 'being', 'exposed', 'to', 'covid', 'since', 'the', 'pandemic', 'so', 'thats', 'a', 'step', 'forward', 'ive', 'been', 'thinking', 'a', 'lot', 'about', 'documenta']","['it', 'been', 'an', 'interesting', 'and', 'cold', 'month', 'so', 'far', 'i', 'made', 'a', 'successful', 'trip', 'to', 'the', 'uk', 'one', 'of', 'the', 'first', 'time', 'ive', 'been', 'back', 'in', 'winter', 'and', 'avoided', 'being', 'exposed', 'to', 'covid', 'since', 'the', 'pandemic', 'so', 'thats', 'a', 'char']"
"['new', 'phsvp', 'collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs']","['collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs', 'study', 'page', 'release', 'note']","['adverse', 'effect', 'of', 'the', 'coronavirus', 'disease', 'covid', 'pandemic', 'on', 'u', 'society', 'health', 'and', 'economy', 'are', 'widespread', 'the', 'collaborative', 'cohort', 'of', 'cohort', 'for', 'covid', 'research', 'cr', 'aim', 'to', 'advance', 'o', 'char']"
"['biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccine', 'maker', 'from', 'liability', 'until']","['the', 'biden', 'administration', 'ha', 'quietly', 'extended', 'a', 'controversial', 'emergency', 'declaration', 'under', 'the', 'public', 'readiness', 'and', 'emergency', 'preparedness', 'prep', 'act', 'until', 'december', 'secretary', 'becerra', 'signed', 'the', 'th', 'amendment', 'to', 'the', 'declaration', 'under', 'the', 'prep', 'act']","['skip', 'to', 'comment', 'biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'to', 'shield', 'big', 'pharma', 'and', 'mrna', 'vaccine', 'maker', 'from', 'liability', 'until', 'aspr', 'posted', 'on', 'char']"
"['how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'a', 'sauna', 'strategy', 'the', 'best', 'time', 'to', 'take', 'melatonin', 'more', 'solosode']","['listen', 'on', 'reading', 'time', 'minute', 'what', 'i', 'discus', 'the', 'rebranding', 'of', 'my', 'podcast', 'to', 'the', 'boundless', 'life', 'podcast', 'my', 'the', 'post', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'a', 'sauna', 'strategy', 'the', 'best', 'time', 'to', 'take']","['ben', 'greenfield', 'in', 'this', 'episode', 'of', 'the', 'boundless', 'life', 'podcast', 'how', 'to', 'hack', 'plant', 'protein', 'for', 'muscle', 'building', 'how', 'little', 'can', 'you', 'train', 'to', 'maintain', 'muscle', 'and', 'a', 'cool', 'sauna', 'strategy', 'the', 'be', 'char']"
"['time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain']","['campolongo', 'francesco', 'and', 'olivas', 'osuna', 'jos', 'javier', 'orcid', 'time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain', 'partecipazione', 'e', 'conflitto', 'issn']","['campolongo', 'francesco', 'and', 'olivas', 'osuna', 'jos', 'javierorcid', 'time', 'of', 'crisis', 'ideology', 'and', 'party', 'system', 'transformation', 'in', 'spain', 'partecipazione', 'e', 'conflitto', 'issn', 'char']"
"['computer', 'programmer', 'quit', 'after', 'his', 'company', 'tried', 'to', 'force', 'him', 'to', 'work', 'from', 'the', 'office', 'rather', 'than', 'home', 'so', 'when', 'the', 'ceo', 'asked', 'him', 'to', 'come', 'back', 'he', 'had', 'some', 'serious', 'demand']","['he', 'must', 'have', 'been', 'a', 'top', 'tier', 'programmer']","['the', 'covid', 'pandemic', 'caused', 'many', 'serious', 'problem', 'but', 'for', 'many', 'people', 'it', 'also', 'made', 'them', 'realize', 'that', 'working', 'from', 'home', 'wa', 'wonderful', 'what', 'would', 'you', 'do', 'if', 'your', 'bos', 'tried', 'to', 'make', 'you', 'return', 'to', 'the', 'o', 'char']"
"['mother', 'injured', 'in', 'covid', 'vaccine', 'trial', 'on', 'a', 'mission', 'to', 'help', 'others', 'amid', 'historic', 'court', 'case']","['it', 'really', 'spiraled', 'into', 'a', 'long', 'arduous', 'journey', 'of', 'learning', 'what', 'happens', 'when', 'big', 'corporate', 'interest', 'overtake', 'the', 'need', 'of', 'an', 'individual', 'said', 'brianne', 'dressen', 'she', 'struggled', 'to', 'survive', 'a', 'covid', 'vaccine', 'clinical', 'trial', 'but', 'brianne', 'dressens', 'story', 'led', 'to', 'a']","['skip', 'to', 'comment', 'mother', 'injured', 'in', 'covid', 'vaccine', 'trial', 'on', 'a', 'mission', 'to', 'help', 'others', 'amid', 'historic', 'court', 'casealpha', 'news', 'december', 'liz', 'collin', 'posted', 'on', 'am', 'pst', 'by', 'char']"
"['raspberry', 'pi', 'review', 'the', 'keyboard', 'is', 'the', 'computer', 'again']","['it', 'may', 'look', 'like', 'the', 'raspberry', 'pi', 'but', 'this', 'pi', 'crams', 'an', 'gb', 'raspberry', 'pi', 'into', 'a', 'keyboard', 'and', 'it', 'ha', 'great', 'thermal']","['when', 'the', 'raspberry', 'pi', 'wa', 'released', 'the', 'world', 'wa', 'deeply', 'in', 'the', 'grip', 'of', 'covid', 'and', 'chip', 'shortage', 'meant', 'that', 'stock', 'of', 'common', 'electronics', 'were', 'in', 'short', 'supply', 'including', 'the', 'raspberry', 'pi', 'char']"
