source,author,title_lemmatized_cleaned,description_lemmatized_cleaned,content_lemmatized_cleaned
Freerepublic.com,Daily Signal,"['exclusive', 'ha', 'hhs', 'withheld', 'covid', 'vax', 'sen', 'ron', 'johnson', 'find']","['new', 'letter', 'sen', 'ron', 'johnson', 'rwis', 'put', 'federal', 'health', 'agency', 'notice', 'plan', 'subpoena', 'unredacted', 'record', 'withheld', 'biden', 'administration', 'potential', 'adverse', 'effect', 'covid', 'vaccine', 'appears', 'even', 'waning', 'day']","['skip', 'comment', 'exclusive', 'ha', 'hhs', 'withheld', 'covid', 'vax', 'sen', 'ron', 'johnson', 'find', 'outdaily', 'signal', 'december', 'fred', 'lucas', 'posted', 'pm', 'pst', 'char']"
Plos.org,"Iheanyi Oby Nwaoha, Albain Ayime Balibuno, Nuha Ibrahim","['factor', 'associated', 'uptake', 'utilisation', 'diabetic', 'retinopathy', 'screening', 'service', 'subsaharan', 'africa', 'scoping', 'review']","['introduction', 'diabetic', 'retinopathy', 'dr', 'microvascular', 'complication', 'chronic', 'diabetes', 'lead', 'visual', 'impairment', 'left', 'untreated', 'concerted', 'effort', 'made', 'develop', 'screening', 'modality', 'facilitate', 'early', 'detection', 'diabet']","['citation', 'nwaoha', 'io', 'balibuno', 'aa', 'ibrahim', 'n', 'factor', 'associated', 'uptake', 'utilisation', 'diabetic', 'retinopathy', 'screening', 'service', 'subsaharan', 'africa', 'scoping', 'review', 'plo', 'one', 'char']"
Wordpress.com,,"['sam', 'thursfield', 'status', 'update']","['interesting', 'cold', 'month', 'far', 'made', 'successful', 'trip', 'uk', 'one', 'first', 'time', 'ive', 'back', 'winter', 'avoided', 'exposed', 'covid', 'since', 'pandemic', 'thats', 'step', 'forward', 'ive', 'thinking', 'lot', 'documenta']","['interesting', 'cold', 'month', 'far', 'made', 'successful', 'trip', 'uk', 'one', 'first', 'time', 'ive', 'back', 'winter', 'avoided', 'exposed', 'covid', 'since', 'pandemic', 'thats', 'char']"
National Institutes of Health,,"['new', 'phsvp', 'collaborative', 'cohort', 'cohort', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs']","['collaborative', 'cohort', 'cohort', 'covid', 'research', 'cr', 'jackson', 'heart', 'study', 'jhs', 'study', 'page', 'release', 'note']","['adverse', 'effect', 'coronavirus', 'disease', 'covid', 'pandemic', 'u', 'society', 'health', 'economy', 'widespread', 'collaborative', 'cohort', 'cohort', 'covid', 'research', 'cr', 'aim', 'advance', 'char']"
Freerepublic.com,ASPR,"['biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'shield', 'big', 'pharma', 'mrna', 'vaccine', 'maker', 'liability']","['biden', 'administration', 'ha', 'quietly', 'extended', 'controversial', 'emergency', 'declaration', 'public', 'readiness', 'emergency', 'preparedness', 'prep', 'act', 'december', 'secretary', 'becerra', 'signed', 'th', 'amendment', 'declaration', 'prep', 'act']","['skip', 'comment', 'biden', 'regime', 'quietly', 'extends', 'covid', 'emergency', 'declaration', 'shield', 'big', 'pharma', 'mrna', 'vaccine', 'maker', 'liability', 'aspr', 'posted', 'char']"
Bengreenfieldlife.com,support@bengreenfieldfitness.com (Ben Greenfield),"['hack', 'plant', 'protein', 'muscle', 'building', 'little', 'train', 'maintain', 'muscle', 'sauna', 'strategy', 'best', 'time', 'take', 'melatonin', 'solosode']","['listen', 'reading', 'time', 'minute', 'discus', 'rebranding', 'podcast', 'boundless', 'life', 'podcast', 'post', 'hack', 'plant', 'protein', 'muscle', 'building', 'little', 'train', 'maintain', 'muscle', 'sauna', 'strategy', 'best', 'time', 'take']","['ben', 'greenfield', 'episode', 'boundless', 'life', 'podcast', 'hack', 'plant', 'protein', 'muscle', 'building', 'little', 'train', 'maintain', 'muscle', 'cool', 'sauna', 'strategy', 'char']"
Lse.ac.uk,,"['time', 'crisis', 'ideology', 'party', 'system', 'transformation', 'spain']","['campolongo', 'francesco', 'olivas', 'osuna', 'jos', 'javier', 'orcid', 'time', 'crisis', 'ideology', 'party', 'system', 'transformation', 'spain', 'partecipazione', 'e', 'conflitto', 'issn']","['campolongo', 'francesco', 'olivas', 'osuna', 'jos', 'javierorcid', 'time', 'crisis', 'ideology', 'party', 'system', 'transformation', 'spain', 'partecipazione', 'e', 'conflitto', 'issn', 'char']"
Twistedsifter.com,Michael Levanduski,"['computer', 'programmer', 'quit', 'company', 'tried', 'force', 'work', 'office', 'rather', 'home', 'ceo', 'asked', 'come', 'back', 'serious', 'demand']","['must', 'top', 'tier', 'programmer']","['covid', 'pandemic', 'caused', 'many', 'serious', 'problem', 'many', 'people', 'also', 'made', 'realize', 'working', 'home', 'wa', 'wonderful', 'would', 'bos', 'tried', 'make', 'return', 'char']"
Freerepublic.com,Alpha News,"['mother', 'injured', 'covid', 'vaccine', 'trial', 'mission', 'help', 'others', 'amid', 'historic', 'court', 'case']","['really', 'spiraled', 'long', 'arduous', 'journey', 'learning', 'happens', 'big', 'corporate', 'interest', 'overtake', 'need', 'individual', 'said', 'brianne', 'dressen', 'struggled', 'survive', 'covid', 'vaccine', 'clinical', 'trial', 'brianne', 'dressens', 'story', 'led']","['skip', 'comment', 'mother', 'injured', 'covid', 'vaccine', 'trial', 'mission', 'help', 'others', 'amid', 'historic', 'court', 'casealpha', 'news', 'december', 'liz', 'collin', 'posted', 'pst', 'char']"
Tom's Hardware UK,Les Pounder,"['raspberry', 'pi', 'review', 'keyboard', 'computer']","['may', 'look', 'like', 'raspberry', 'pi', 'pi', 'crams', 'gb', 'raspberry', 'pi', 'keyboard', 'ha', 'great', 'thermal']","['raspberry', 'pi', 'wa', 'released', 'world', 'wa', 'deeply', 'grip', 'covid', 'chip', 'shortage', 'meant', 'stock', 'common', 'electronics', 'short', 'supply', 'including', 'raspberry', 'pi', 'char']"
The Irish Times,Ronan Glynn,"['cant', 'build', 'way', 'capacity', 'issue', 'health', 'service']","['must', 'stop', 'viewing', 'health', 'cost', 'managed', 'instead', 'understand', 'investment', 'made']","['political', 'focus', 'move', 'beyond', 'election', 'campaign', 'government', 'formation', 'negotiation', 'programme', 'government', 'focus', 'healthcare', 'system', 'turn', 'towards', 'winter', 'pre', 'char']"
UN News,United Nations,"['human', 'right', 'building', 'future', 'right', 'say', 'secretarygeneral', 'marking', 'international', 'day']","['following', 'un', 'secretarygeneral', 'antnio', 'guterres', 'message', 'human', 'right', 'day', 'observed', 'december']","['following', 'un', 'secretarygeneral', 'antnio', 'guterres', 'message', 'human', 'right', 'day', 'observed', 'december', 'human', 'right', 'day', 'face', 'harsh', 'truth', 'human', 'right', 'assault', 'ten', 'millio', 'char']"
BusinessLine,KR Srivats,"['market', 'slide', 'octobernovember', 'trim', 'np', 'equity', 'gain', 'annual', 'return', 'moderate']","['although', 'average', 'annual', 'equity', 'scheme', 'return', 'moderated', 'since', 'end', 'september', 'wa', 'much', 'higher', 'central', 'government', 'scheme', 'state', 'government', 'scheme']","['recent', 'slide', 'benchmark', 'equity', 'index', 'octobernovember', 'ha', 'pulled', 'average', 'annual', 'return', 'np', 'monies', 'parked', 'equity', 'scheme', 'per', 'cent', 'november', 'lates', 'char']"
