Titre,Abstract,Auteurs
Robotic surgery of the anterior skull base,"Background:Significant advances have been made in transoral robotic surgery (TORS), yet its application in anterior skull-base surgery has yet to be defined. This work explores the history of endoscopic sinus and anterior skull-base surgery, and its advantages and disadvantages. The development of robotic surgery is then discussed as well as the advantages and disadvantages of TORS as it relates to the anterior skull base. The current applications for robotic surgery to the anterior skull base are presented with details of future applications.Methods:A structured search of the current literature using MEDLINE, PubMed, and EMBASE was performed from inception to May 2019. Search terms related to topics of robotic skull-base surgery were identified and queried to identify relevant articles.Results:Fifty-four papers were identified from the literature search and a hand search of the references. Twenty-one other references were discovered from personal communication, websites, and books relevant to the topic.Conclusion:Anterior skull-base surgery has the potential for significant morbidity compared to head and neck surgery, yet the application of the robot in sinus and anterior skull-base surgery has yet to be formally defined. Currently, there are certain limitations that need to be overcome; however, research to address these barriers is currently underway and promises an exciting future for robotic sinus and anterior skull-base surgery.","Raewyn G Campbell, 1, 2, 3"
Complications in Skull Base Surgery and Subsequent Repair,"Over the past several decades, endoscopic sinus surgery has revolutionized the approach to skull base surgery. Open skull base approaches remain a viable option for advanced skull base tumors. Complications have gone down with increased reliability of vascularized tissue transfer. In this article, the authors explore the various complications that can present following skull base surgery and review the approaches for repair when such issues are encountered.","Weitao Wang, 1, Tom Shokri, 1, Spiros Manolidis, 2, Yadranko Ducic, 1"
Perioperative Considerations in Endoscopic Skull Base Surgery,"Purpose of the review:Present an overview of perioperative considerations specific to endoscopic skull base surgery necessary to maximize successful outcomes.Recent findings:The majority of perioperative considerations for endoscopic skull base surgery lack strong supporting evidence and frequently have varied use or implementation amongst institutions. A notable exception comes from a recent randomized controlled trial demonstrating the benefit of lumbar drainage in high-risk cerebrospinal fluid leaks.Summary:Skull base surgeons must consider a multitude of perioperative factors. While many components of perioperative management are extrapolated from related fields such as endoscopic sinus surgery or open cranial base surgery, additional high-quality studies are needed to delineate best practices specific to endoscopic skull base surgery.","Adnan S Hussaini, 1, Christine M Clark, 1, Timothy R DeKlotz, 1"
How close are we to anterior robotic skull base surgery?,"Purpose of review:The application of robotic surgery to anterior skull base disease has yet to be defined despite the potential for improved tumour resection with less morbidity in this region. Complex anatomy and restricted access have limited the development of robotic anterior skull base surgery.Recent findings:A limited number of transoral robotic surgical anterior skull base procedures have been undertaken; however, there are significant limitations to the utilization of this technology in the anterior skull base. In this article, the advantages, disadvantages and limitations of robotic anterior skull base surgery are discussed. Currently, the major limitation is the size of the robotic endoscope and of the available instrumentation. Technological advancements that provide promise for the future development of robotic anterior skull base surgery are in development, such as single-port robots, flexible instrument systems and miniaturization and growth of minimally invasive platforms.Summary:Although transnasal access to the skull base is not possible with the currently available robotic systems, promising technology does exist and is in development. Robotic anterior skull base surgery promises to provide greater access to skull base disease, improve oncologic results, reduce morbidity and to reduce the ergonomic burden on the surgeon.","Raewyn G Campbell, 1, 2, 3, Richard J Harvey, 1, 3"
Skull base surgery,Résumé non trouvé,Frederick A Boop
[History of Skull Base Surgery],"Skull base surgery is a surgical field that involves the cooperation of multiple surgical and medical specialties, including neurosurgery, head-neck surgery, plastic-reconstructive surgery, radiation oncology, as well as multiple medical supporting teams. This field has been developed with the collaborative efforts of these medical specialties, and its history can be divided into five phases: Beginning of surgery(Prior to 1940); Early skull base surgery driven by the ENT-HN surgery group(1940-70); Conventional skull base surgery development based on anatomical, physiological knowledge and microsurgical equipment and technique(1970-90); Reflection and consolidation of the surgical dimension(1995-2005); and Evolution of endoscopic and new skull base surgical techniques(2005-). Several topics and advancements have improved this surgical field, such as access to the cavernous sinus, petrosal-temporal bone, and foramen magnum; concepts of minimally invasive surgical techniques; advanced endoscopic instruments; knowledge of biological assessments; and development of surgical robotics. To achieve a safe and effective surgery for cases of difficult cranial base lesions, clinicians must understand the origin of the surgical field, the detailed anatomy and physiology of the skull base, and the basic microsurgical techniques.","Akio Morita, 1"
"""How I Do It""-Skull Base Surgery",Résumé non trouvé,"Antonio Bernardo, 1, Alexander I Evins, 2"
Anterior skull-base surgery: current opinion,"Purpose of review:The field of anterior skull-base surgery has undergone rapid advancement in the last 10-15 years. As a result, tumors of the anterior skull base that were once considered inoperable are now routinely resected with reliable results and decreasing morbidity. The purpose of this review is to highlight the most up-to-date opinions and advancements within the field, and to evaluate the recent advances in the surgical management of anterior skull-base tumors.Recent findings:In the last year, the body of literature in anterior skull-base surgery has been expanded with new anatomic insights, surgical techniques, and data on patient outcomes and quality of life. Much of this literature is focused on minimally invasive, endoscopic techniques, which have expanded greatly in the last decade.Summary:This article summarizes the most current opinion in the field of anterior skull-base surgery. Recent literature regarding new anatomic insights, surgical techniques (resection and reconstruction), and outcomes data are outlined.","Aaron M Fletcher, 1, Lawrence Marentette"
Endoscopic endonasal skull base surgery,"Skull base surgery has been transformed by the development of endoscopic techniques. Endoscopic procedures were first used for pituitary surgery and were then gradually extended to other regions. A wide range of diseases are now accessible to endoscopic skull base surgery. The major advantage of the endoscopic endonasal approach is that it provides direct anatomical access to a large number of intracranial and paranasal sinus lesions, avoiding the sequelae of a skin incision, facial bone flap or craniotomy, and brain retraction, which is inevitable with conventional neurosurgical incisions, resulting in decreased morbidity and mortality and, indirectly, decreased length of hospital stay and management costs. Moreover, the increasing number of publications in this field illustrates the growing interest in these techniques. This paper provides a review of endoscopic skull base surgery. The indications and general principles of endoscopic endonasal skull base surgery are described. Progress in exposure and especially reconstruction techniques is described. This progress now allows more extensive resections, while maintaining acceptable morbidity. The limits of this surgery are also discussed; in particular, although this surgery is often described as ""minimally invasive"", it is not completely devoid of morbidity.","B Verillaud, 1, D Bresson, E Sauvaget, E Mandonnet, B Georges, R Kania, P Herman"
Safety of restarting continuous positive airway pressure (CPAP) therapy following endoscopic endonasal skull base surgery,"Objectives:Patients with obstructive sleep apnea (OSA) are at increased risk of perioperative and postoperative morbidity. The use of continuous positive airway pressure (CPAP) in the perioperative period may be of potential benefit. However, among patients who have undergone endonasal skull base surgery, many surgeons avoid prompt re-initiation of CPAP therapy due to the theoretical increased risk of epistaxis, excessive dryness, pneumocephalus, repair migration, intracranial introduction of bacteria, and cerebrospinal fluid (CSF) leak. The objective of this article is to review the most up-to-date literature regarding when it is safe to resume CPAP usage in the patient undergoing endonasal skull base surgery.Data sources and methods:This review combines the most recent literature as queried through PubMed regarding the safety of CPAP resumption following endonasal skull base surgery.Results:Recent surveys of skull base surgeons demonstrate little consensus regarding the post-operative management of OSA. Recent cadaveric studies suggest that approximately 85% of delivered CPAP pressures are transmitted to the sphenoid sinus. Further, at frequently prescribed CPAP pressure settings, common sellar reconstruction techniques maintain their integrity while preventing very little transmission of pressure into the sella. In small retrospective case series, patients with OSA who received CPAP immediately following transsphenoidal pituitary surgery had similar rates of surgical complications as OSA patients who did not receive CPAP in the immediate post-operative period. Concerns of re-initiating CPAP too early, such as the development of pneumocephalus, rarely develop.Conclusions:There remains a paucity of objective data regarding when it is safe to resume CPAP following endonasal skull base surgery. Recent cadaveric studies and small retrospective case series suggest that it may be safe to resume CPAP earlier than is often practiced following endonasal skull base surgery.","Mark B Chaskes, 1, Mindy R Rabinowitz, 1"
